rank,name,items,owners,link,Unnamed: 5,scan,contract address,Time,text plagiarism,image plagiarism,manual label,Creation Time >= 3,trading volume >= 1500,Official website verification,counterfeit_sure
9,Momoco Azuki,39.2K,17.6K,https://rarible.com/collection/0x5838f7c3d22da78d8f473130ed80ed07dd1df2eb,,Ethereum,0x5838f7c3d22da78d8f473130ed80ed07dd1df2eb,2022/4/14 20:54,1,,,,,,
90,Azukimfer,2K,163,https://rarible.com/collection/0x52f16e3924f89cdda35906c012649e907ff48782,,Ethereum,0x52f16e3924f89cdda35906c012649e907ff48782,2022/3/3 19:10,1,,,,,,
91,The Official Azuki Ape,1.5K,312,https://rarible.com/collection/0x54f4724b58497454f95a1a2bfcafb918b033eb6f,,Ethereum,0x54f4724b58497454f95a1a2bfcafb918b033eb6f,2022/3/26 21:12,1,,,,,,
92,AzukiGoblin,1.7K,538,https://rarible.com/collection/0x5cb035bd1406b855198e9301f0a9d1b8ba428322,,Ethereum,0x5cb035bd1406b855198e9301f0a9d1b8ba428322,2022/5/28 7:04,1,,,,,,
93,Azuki X BAYC,1.6K,1.3K,https://rarible.com/collection/0x7140bf128b9e2d3390af0d2ef5628ee4976b6586,,Ethereum,0x7140bf128b9e2d3390af0d2ef5628ee4976b6586,2022/5/6 7:22,1,,,,,,1
94,azukiart,1.9K,674,https://rarible.com/collection/0x7756f945a7c80ec83eb34e93a6384898fd65f18d,,Ethereum,0x7756f945a7c80ec83eb34e93a6384898fd65f18d,2022/6/21 0:54,1,,,,,,1
95,RengAzuki,1.5K,1K,https://rarible.com/collection/0xbdcd6a2da65e3bf2aa44003ef180c58609ef6905,,Ethereum,0xbdcd6a2da65e3bf2aa44003ef180c58609ef6905,2022/9/20 6:20,1,,,,,,
96,Azuki Demon,1.7K,860,https://rarible.com/collection/0xc5f86533d7b36154346e35356cc5c1498d247a93,,Ethereum,0xc5f86533d7b36154346e35356cc5c1498d247a93,2022/4/17 1:29,1,1,,,,,
97,Mutant Azuki,1.5K,378,https://rarible.com/collection/0xe36fd7cd5c67e0d7c3ce9a413a52b63592fd287a,,Ethereum,0xe36fd7cd5c67e0d7c3ce9a413a52b63592fd287a,2022/4/5 21:27,1,,,,,,
37,00000 Azuki X,10K,4.4K,https://rarible.com/collection/immutablex/0xf01d46fd103fcb74c80b43f5b4412fdc4585e6d4,,Immutable X,0xf01d46fd103fcb74c80b43f5b4412fdc4585e6d4,,1,,,,,,
100,0xAzuki Mutant,2K,1,https://rarible.com/collection/polygon/0x10613b2f6ec38a0b5664070bacdd4b7e1c6c2738,,Polygon,0x10613b2f6ec38a0b5664070bacdd4b7e1c6c2738,2022/4/8 16:25,1,,,,,,
101,Azuki 12^2,1.7K,147,https://rarible.com/collection/polygon/0x320cf6a35a3c36cf8f55f95be85ca144f7d99cc9,,Polygon,0x320cf6a35a3c36cf8f55f95be85ca144f7d99cc9,2022/3/11 13:26,1,1,,,,,
103,ColoredAzuki,1.5K,19,https://rarible.com/coloredazuki,,Polygon,0xb3407d38217e4cd4d8fa5301bf44b33f7fa540aa,2022/4/16 3:45,1,1,,,,,
104,Azuki Polygon,1.5K,1,https://rarible.com/collection/polygon/0xc3b49a4c830fd1a16c7d49c9c1a7d0682da61648,,Polygon,0xc3b49a4c830fd1a16c7d49c9c1a7d0682da61648,2022/2/9 0:45,1,1,,,,,
105,BabyAzuki BBZ,1.5K,1,https://rarible.com/collection/polygon/0xdcf7a507cd099ea22677a3b1d9ce814943d01602,,Polygon,0xdcf7a507cd099ea22677a3b1d9ce814943d01602,2022/4/5 13:09,1,,,,,,
106,adidas For Azuki,1.5K,1,https://rarible.com/collection/polygon/0xe6ecc80cd6e59a1630e09b1314c608fd7e44e652,,Polygon,0xe6ecc80cd6e59a1630e09b1314c608fd7e44e652,2022/2/22 4:03,1,,,,,,
110,Poly Azuki,1.4K,1.4K,https://rarible.com/collection/polygon/0x28856c3796aab504bd192291c4a2910eb273ac1f,,Polygon,0x28856c3796aab504bd192291c4a2910eb273ac1f,2022/6/20 19:20,1,,,,,,
111,AzukiApeSocialpolyClub,1.2K,53,https://rarible.com/collection/polygon/0x2b752a8b26f24ec45f2854b3fdd38910dd422d74,,Polygon,0x2b752a8b26f24ec45f2854b3fdd38910dd422d74,2022/3/12 3:09,1,1,,,,,
112,ShadowAzukiApe,1K,770,https://rarible.com/collection/polygon/0x36c5fb767d039a9bad12ca070d9a33a847e1604b,,Polygon,0x36c5fb767d039a9bad12ca070d9a33a847e1604b,2022/5/5 0:06,1,1,,,,,
114,0xAzuki Mutant,1K,3,https://rarible.com/collection/polygon/0x9ab7b04e49c0ccf063cc888e0e9cbb5a4c1a3ed2,,Polygon,0x9ab7b04e49c0ccf063cc888e0e9cbb5a4c1a3ed2,2022/4/8 19:19,1,,,,,,
115,Azuki,1.2K,469,https://rarible.com/collection/polygon/0xbdea6285d9701c56abaa3c700403bc7cedaf8a76,,Polygon,0xbdea6285d9701c56abaa3c700403bc7cedaf8a76,2023/5/23 6:01,1,1,,,,,
116,0xAzuki Mutant,1K,5,https://rarible.com/collection/polygon/0xc711a8e1d094d4870f2a26c03d80f704f037f7a5,,Polygon,0xc711a8e1d094d4870f2a26c03d80f704f037f7a5,2022/4/8 18:48,1,,,,,,
117,Azuki BEANZ Official,1.3K,2,https://rarible.com/collection/polygon/0xd127a95ca9b32307a9a2e64e6372c4d58b2ca694,,Polygon,0xd127a95ca9b32307a9a2e64e6372c4d58b2ca694,2022/5/6 12:26,1,,,,,,
118,Azuki Polygon NFT,1.2K,104,https://rarible.com/collection/polygon/0xd7f156b405ec737dc7237d953646b7b8414d521e,,Polygon,0xd7f156b405ec737dc7237d953646b7b8414d521e,2023/3/5 17:56,1,,,,,,
119,AzukiSketch,1.3K,49,https://rarible.com/collection/polygon/0xe61bc56f2a23f57ff4eefb1437c00df6b31eb119,,Polygon,0xe61bc56f2a23f57ff4eefb1437c00df6b31eb119,2022/4/1 6:28,1,,,,,,
120,0xAzuki Mutant,1K,6,https://rarible.com/collection/polygon/0xf269b006e18b4f5de2bc4a49f870a489ac69b233,,Polygon,0xf269b006e18b4f5de2bc4a49f870a489ac69b233,2022/4/8 20:51,1,,,,,,
121,The Azuki PBT Originals Pass,1K,2,https://rarible.com/collection/polygon/0xf4323963106ad316b63da12f3dde736dccc5e793,,Polygon,0xf4323963106ad316b63da12f3dde736dccc5e793,2023/1/13 8:19,1,,,,,,
122,Azuki Dragon Skateboard NFT Pass,1K,128,https://rarible.com/collection/polygon/0xf45cb1aa60ec2a2d81994f354d1541d3ccd78071,,Polygon,0xf45cb1aa60ec2a2d81994f354d1541d3ccd78071,2023/1/16 21:02,1,,,,,,
123,The Azuki PBT Genesis Pass,1K,502,https://rarible.com/collection/polygon/0xf69f817f0885400ff9f892a0b04d0ec27958b726,,Polygon,0xf69f817f0885400ff9f892a0b04d0ec27958b726,2023/5/3 18:19,1,,,,,,
124,The Azuki Lei Jacket Pass Official,1K,393,https://rarible.com/collection/polygon/0xf8e93864e65c293a8b0e40978536a6e9300d018b,,Polygon,0xf8e93864e65c293a8b0e40978536a6e9300d018b,2023/2/9 11:44,1,,,,,,
127,The Azuki PBT Limited Pass,1K,502,https://rarible.com/collection/polygon/0xce7e72374ecce1f2367649afbd7396e418d97a1b,,Polygon,0xce7e72374ecce1f2367649afbd7396e418d97a1b,2023/5/3 18:05,1,,,,,,
