rank,name,items,owners,link,Unnamed: 5,scan,contract address,Time,text plagiarism,image plagiarism,manual label,Creation Time >= 3,trading volume >= 1500,Official website verification
181,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0x936b157cb66397631e4cd64a42cfe67928bf15cb,,zkSync,0x936b157cb66397631e4cd64a42cfe67928bf15cb,2023-08-12 17:52:10,1.0,,,,,
182,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0xa402d5d779ac1bfe9a000fb345236c538df693d1,,zkSync,0xa402d5d779ac1bfe9a000fb345236c538df693d1,2023-09-08 14:34:00,1.0,,,,,
183,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0xa5dfc75eb103c2dd25eaae6ef3cee966780b31b5,,zkSync,0xa5dfc75eb103c2dd25eaae6ef3cee966780b31b5,2023-07-16 13:06:37,1.0,,,,,
184,Pudgy Penguins,1,1,https://rarible.com/collection/zksync/0xacf6390b7c2f9916688f4baf90119cca4234712b,,zkSync,0xacf6390b7c2f9916688f4baf90119cca4234712b,2023-07-01 13:20:08,1.0,1.0,,,,
185,Pudgy Penguin #7381,1,1,https://rarible.com/collection/zksync/0xb216305f2124fc2ac2fb547347a9198f0c263506,,zkSync,0xb216305f2124fc2ac2fb547347a9198f0c263506,2023-12-10 14:22:11,1.0,1.0,,,,
186,Pudgy Penguin,1,1,https://rarible.com/collection/zksync/0xb69c3e553f2187005381b621f05611c033ea83a8,,zkSync,0xb69c3e553f2187005381b621f05611c033ea83a8,2023-08-11 14:24:49,1.0,,,,,
187,Pudgy Penguins,1,2,https://rarible.com/collection/base/0x7b1600980f34eeeee4e77537c9df05dcb6a2f9cc,,Base,0x7b1600980f34eeeee4e77537c9df05dcb6a2f9cc,2024-06-17 03:44:19,1.0,1.0,,,,
188,Pudgy Penguin,1,1,https://rarible.com/collection/base/0x89a70e8efeb0959d5fac136120cfa545944492e5,,Base,0x89a70e8efeb0959d5fac136120cfa545944492e5,2024-03-18 14:13:31,1.0,1.0,,,,
189,Pudgy Penguins,1,1,https://rarible.com/collection/base/0xcd533a6d25356bd35be401ac67652d2eb1d710a8,,Base,0xcd533a6d25356bd35be401ac67652d2eb1d710a8,2024-03-01 18:33:45,1.0,,,,,
19,LC Pudgy Penguin Limited Reveal Pass,1K,176,https://rarible.com/collection/polygon/0x9bb0a44c6aa686690329eb3df70f14e93ba9fdeb,,Polygon,0x9bb0a44c6aa686690329eb3df70f14e93ba9fdeb,2023-01-10 21:05:05,1.0,1.0,,,,
