decision_mode,contract_id,collection_type,low_rep_threshold_pct,trigger_k,angle,detected_window_proxy,first_sell_window,first_avoid_buy_window,first_risk_window,lead_windows,consecutive_risk_windows,has_risk_signal_before_detect,never_bought_before_detect,never_bought_and_no_avoid_signal,prompt_tokens_total,completion_tokens_total,total_tokens_total
llm_rank,8_3_0d99cc92_0d99cc92,rugpull,0.9,3,buy,29.0,,27.0,27.0,44.36510156915217,3,1,1,0,1509.0,710.0,2219.0
llm_rank,8_3_0d99cc92_0d99cc92,rugpull,0.9,3,sell,29.0,27.0,,27.0,44.36510156915217,3,1,1,0,1509.0,693.0,2202.0
llm_rank_compact,8_3_0d99cc92_0d99cc92,rugpull,0.9,3,buy,29.0,,27.0,27.0,44.36510156915217,3,1,1,0,1296.0,730.0,2026.0
llm_rank_compact,8_3_0d99cc92_0d99cc92,rugpull,0.9,3,sell,29.0,27.0,,27.0,44.36510156915217,3,1,1,0,1296.0,631.0,1927.0
llm_rank_mini,8_3_0d99cc92_0d99cc92,rugpull,0.9,3,buy,29.0,,27.0,27.0,44.36510156915217,3,1,1,0,1203.0,668.0,1871.0
llm_rank_mini,8_3_0d99cc92_0d99cc92,rugpull,0.9,3,sell,29.0,27.0,,27.0,44.36510156915217,3,1,1,0,1203.0,622.0,1825.0
rule_agent,8_3_12239e85_12239e85,rugpull,0.8,3,buy,23.0,,21.0,21.0,90.35480274094796,3,1,1,0,0.0,0.0,0.0
rule_agent,8_3_12239e85_12239e85,rugpull,0.8,3,sell,23.0,,,,,0,0,1,0,0.0,0.0,0.0
llm_base,8_3_12239e85_12239e85,rugpull,0.8,3,buy,23.0,,21.0,21.0,90.35480274094796,3,1,1,0,1362.0,577.0,1939.0
llm_base,8_3_12239e85_12239e85,rugpull,0.8,3,sell,23.0,22.0,,22.0,89.35480274094797,1,1,1,0,1362.0,887.0,2249.0
llm_rank,8_3_12239e85_12239e85,rugpull,0.8,3,buy,23.0,,21.0,21.0,90.35480274094796,3,1,1,0,1509.0,676.0,2185.0
llm_rank,8_3_12239e85_12239e85,rugpull,0.8,3,sell,23.0,21.0,,21.0,90.35480274094796,1,1,1,0,1509.0,869.0,2378.0
llm_rank_compact,8_3_12239e85_12239e85,rugpull,0.8,3,buy,23.0,,21.0,21.0,90.35480274094796,3,1,1,0,1296.0,603.0,1899.0
llm_rank_compact,8_3_12239e85_12239e85,rugpull,0.8,3,sell,23.0,21.0,,21.0,90.35480274094796,3,1,1,0,1296.0,559.0,1855.0
llm_rank_mini,8_3_12239e85_12239e85,rugpull,0.8,3,buy,23.0,,21.0,21.0,90.35480274094796,3,1,1,0,1203.0,735.0,1938.0
llm_rank_mini,8_3_12239e85_12239e85,rugpull,0.8,3,sell,23.0,21.0,,21.0,90.35480274094796,3,1,1,0,1203.0,681.0,1884.0
rule_agent,8_3_12239e85_12239e85,rugpull,0.9,3,buy,23.0,,21.0,21.0,90.35480274094796,3,1,1,0,0.0,0.0,0.0
rule_agent,8_3_12239e85_12239e85,rugpull,0.9,3,sell,23.0,,,,,0,0,1,0,0.0,0.0,0.0
llm_base,8_3_12239e85_12239e85,rugpull,0.9,3,buy,23.0,,21.0,21.0,90.35480274094796,3,1,1,0,1362.0,572.0,1934.0
llm_base,8_3_12239e85_12239e85,rugpull,0.9,3,sell,23.0,22.0,,22.0,89.35480274094797,1,1,1,0,1362.0,562.0,1924.0
llm_rank,8_3_12239e85_12239e85,rugpull,0.9,3,buy,23.0,,21.0,21.0,90.35480274094796,3,1,1,0,1509.0,716.0,2225.0
llm_rank,8_3_12239e85_12239e85,rugpull,0.9,3,sell,23.0,21.0,,21.0,90.35480274094796,3,1,1,0,1509.0,795.0,2304.0
llm_rank_compact,8_3_12239e85_12239e85,rugpull,0.9,3,buy,23.0,,21.0,21.0,90.35480274094796,3,1,1,0,1296.0,717.0,2013.0
llm_rank_compact,8_3_12239e85_12239e85,rugpull,0.9,3,sell,23.0,21.0,,21.0,90.35480274094796,3,1,1,0,1296.0,710.0,2006.0
llm_rank_mini,8_3_12239e85_12239e85,rugpull,0.9,3,buy,23.0,,21.0,21.0,90.35480274094796,3,1,1,0,1203.0,826.0,2029.0
llm_rank_mini,8_3_12239e85_12239e85,rugpull,0.9,3,sell,23.0,21.0,,21.0,90.35480274094796,1,1,1,0,1203.0,704.0,1907.0
